Disease,Symptoms,Medical Tests,Cost (?)
Psoriasis,"Thick silvery scales on elbows/knees that bleed when scraped, itchy scalp with thick dandruff-like flakes, pitted nails that look like pin pricks, red patches in belly button and ears","Skin biopsy, Clinical examination","1,500-5,000"
Cataract,"Foggy vision like looking through dirty windshield, headlights glare too much at night, colors appear faded compared to before, frequent changes in glasses prescription","Slit lamp examination, Visual acuity test","300-1,500"
Hemorrhoids,"Bright red blood on toilet paper after bowel movement, itchy lump near anus that hurts when sitting, feeling of incomplete evacuation, pain worsens with constipation","Proctoscopy, Digital rectal exam","800-2,500"
Ear Infection,"Ear pain that worsens when pulling earlobe, fluid discharge with sudden relief of pain, muffled hearing with popping sensation, child crying while tugging at ear","Otoscopy, Tympanometry","200-1,500"
Gout,"Sudden excruciating pain in big toe like it's being crushed, joint so swollen and red that even bedsheet weight hurts, attacks start at night after eating red meat or drinking, hard white lumps on ears and elbows","Uric acid blood test, Joint fluid analysis","500-2,500"
Allergic Rhinitis,"Non-stop sneezing fits when dusting house, nose runs like tap during pollen season, itchy roof of mouth and ears when allergies flare, dark circles under eyes that look like allergies","Allergy skin prick test, IgE blood test","800-4,000"
Varicose Veins,"Purple rope-like veins bulging on legs, heavy aching legs that feel better when elevated, itchy skin over visible veins with brown discoloration, night cramps that wake me up screaming","Doppler ultrasound, Venous reflex test","1,500-5,000"
Dysmenorrhea,"Cramps so bad I vomit on first day of periods, pain radiates to lower back and thighs, heavy bleeding with golf-ball sized clots, diarrhea and dizziness along with cramps","Pelvic ultrasound, Hormone tests","1,000-4,000"
GERD,"Sour liquid suddenly coming up into mouth at night, burning chest pain after eating spicy foods, constant throat clearing and hoarse voice, feeling like food is stuck behind breastbone","Endoscopy, pH monitoring","2,000-8,000"
Carpal Tunnel,"Hands go numb while holding phone or driving, wake up at night with pins and needles in fingers, weak grip - keep dropping small objects, shaking hands relieves the tingling temporarily","Nerve conduction study, EMG","1,500-5,000"
Vertigo,"Room spins when turning over in bed, lost balance while looking up at shelf, nausea when seeing moving patterns or crowds, brief dizziness that stops if I stay still","Dix-Hallpike test, VNG testing","800-4,000"
Oral Thrush,"White cottage-cheese like patches on tongue that bleed, cottony feeling in mouth with loss of taste, cracks at corners of mouth that won't heal, burning sensation when eating spicy food","KOH smear, Clinical diagnosis",200-800
Sciatica,"Sharp pain shooting from buttock down to foot, numbness on outer leg and tingling toes, worse when sitting but better when walking, weak foot that slaps while walking","MRI lumbar spine, Straight leg raise test","3,000-8,000"
Ringworm,"Circular red rash with clearer center like ring, itchy scaly patches that spread outward, hair falling out in circular patches on scalp, nails becoming thick and discolored","KOH microscopy, Wood's lamp exam","300-1,200"
Bronchitis,"Hacking cough with sticky yellow phlegm for weeks, burning sensation deep in chest when coughing, wheezing that gets worse in cold air, sore ribs from constant coughing","Chest X-ray, Spirometry","800-3,500"
Conjunctivitis,"Red eyes with yellow crusts gluing lashes shut in morning, gritty feeling like sand in eyes with clear discharge, sticky eyelids that are swollen and pink, contagious - whole family got it one by one","Slit lamp exam, Conjunctival swab","200-1,000"
Plantar Fasciitis,"Stabbing heel pain with first steps in morning, feels like walking on pebble barefoot, pain improves after walking but returns after rest, tenderness when pressing center of heel","X-ray foot, Ultrasound","600-2,500"
Gallstones,"Sudden severe pain in upper right belly after fatty meal, pain radiates to right shoulder blade, clay-colored stools with dark urine, bloating and nausea after eating fried foods","USG abdomen, LFT","800-3,500"
Shingles,"Burning rash in band on one side of waist, flu-like symptoms before blisters appeared, pain so severe even clothing touching hurts, blisters scabbing over but pain persists","Clinical diagnosis, VZV PCR","500-2,500"
Sleep Apnea,"Snoring so loud it disturbs others, gasping awake feeling choked at night, daytime sleepiness despite 8 hours in bed, morning headaches and dry mouth","Polysomnography, Home sleep test","5,000-15,000"
Diverticulitis,"Sharp left lower belly pain with fever, alternating diarrhea and constipation, bloating that worsens after eating seeds, tenderness in left side when pressing belly","CT abdomen, Colonoscopy","3,000-12,000"
Eczema,"Dry cracked skin that oozes when scratched, intense itching that worsens at night, red patches in elbow creases and behind knees, skin thickens and darkens from constant rubbing","Patch testing, Skin biopsy","1,000-4,000"
Tennis Elbow,"Outer elbow pain when shaking hands or lifting cup, weak grip - trouble opening jars, burning pain when extending wrist backwards, tenderness over bony outer elbow","Clinical exam, X-ray","300-1,500"
Hernia,"Bulge in groin that appears when standing/coughing, dull ache that worsens through day, sudden severe pain with nausea (emergency), heavy feeling when bending or lifting","USG groin, Clinical exam","800-3,500"
Bursitis,"Swollen warm knee/elbow painful to touch, stiffness after sitting too long, sharp pain when kneeling or leaning on elbows, squishy lump over joint that's tender","USG joint, Aspiration","1,000-4,000"
Laryngitis,"Hoarse voice that cracks when speaking, constant urge to clear throat, dry cough that doesn't produce phlegm, raw feeling in voice box that worsens with talking","Laryngoscopy, Throat swab culture","500-2,500"
Pinworms,"Intense anal itching especially at night, visible white thread-like worms in stool, restless sleep due to discomfort, occasional stomach cramps with nausea","Cellophane tape test, Stool examination",200-800
Rosacea,"Persistent facial redness on cheeks/nose, small pus-filled bumps that look like acne, visible spider veins on face, burning sensation when applying skincare products","Clinical diagnosis, Skin biopsy (rare)","300-1,500"
Tonsillitis,"Severe sore throat making swallowing painful, white/yellow patches on tonsils, swollen neck glands, fever with headache and ear pain","Throat swab, Rapid strep test","400-1,800"
Bacterial Vaginosis,"Fishy odor especially after sex, thin grayish-white discharge, vaginal itching without redness, burning during urination","Vaginal pH test, Whiff test","500-1,500"
Jock Itch,"Red ring-shaped rash in groin area, burning sensation that worsens with sweat, flaky peeling skin at edges, more common in athletes","KOH test, Wood's lamp exam","300-1,000"
Hives,"Raised welts that appear suddenly and move locations, intense itching worse at night, swelling around eyes/lips, triggered by heat/stress","Allergy testing, CBC","600-3,000"
