Patient_Problem,Disease,Prescription
"Constant fatigue and muscle weakness, struggling to stay awake, brain fog, persistent headaches, and unrefreshing sleep.",Chronic Fatigue Syndrome,"Cognitive behavioral therapy, graded exercise therapy."
"Frequent severe migraines with throbbing pain, sensitivity to light and sound, visual aura, nausea, and dizziness.",Migraine with Aura,"Prescription triptans, avoid triggers like bright lights."
"Sudden weight gain and feeling cold, especially in the hands and feet, constipation, dry skin, hair loss, and fatigue.",Hypothyroidism,Levothyroxine to regulate thyroid hormone levels.
"High fever, sore throat with white patches, swollen lymph nodes, feeling very weak, headache, and body aches.",Mononucleosis,"Rest and hydration, ibuprofen for pain."
"Excessive thirst and frequent urination, dry mouth persistently, blurred vision, unexplained weight loss, and increased hunger.",Diabetes Mellitus,Insulin therapy and lifestyle changes.
"Sharp, stabbing chest pain that worsens when lying down or inhaling deeply, shortness of breath, palpitations, and mild fever.",Pericarditis,"Anti-inflammatory medication, rest."
"Unexplained weight loss and night sweats, feeling feverish, persistent cough, fatigue, and enlarged lymph nodes.",Tuberculosis,"Antibiotics, rest, and a high-calorie diet."
"Severe abdominal pain radiating to the back, nausea without vomiting, fever, rapid pulse, and tenderness to the touch.",Pancreatitis,"IV fluids, pain relief, and sometimes surgery."
"Joint swelling and stiffness in the morning, especially in the fingers and wrists, fatigue, low-grade fever, and dry eyes.",Rheumatoid Arthritis,"DMARDs and NSAIDs, physical therapy."
"Recurrent, painful blisters around the mouth and nose, tingling or burning sensation before outbreak, fever, and swollen glands.",Herpes Simplex,"Antiviral medication, pain relief creams."
"Progressive difficulty swallowing, accompanied by heartburn, chest pain, regurgitation of food, and sore throat.",Esophageal Reflux,"Antacids, avoid spicy and fatty foods."
"Chronic diarrhea, abdominal cramps, and gas, bloating, urgency, mucus in stool, and fatigue.",Irritable Bowel Syndrome,"Fiber supplements, antispasmodic drugs."
"Intense itching, especially at night, with visible burrows on the skin, small red bumps, rash, and secondary skin infections from scratching.",Scabies,"Permethrin cream, wash all clothing and bedding."
"Yellowing of the skin and eyes, dark urine, and general fatigue, abdominal pain, nausea, and loss of appetite.",Hepatitis,"Antiviral drugs, liver function monitoring."
"Sudden, severe headache with no known cause, blurred vision, stiff neck, loss of consciousness, and vomiting.",Subarachnoid Hemorrhage,"Immediate medical evaluation, possibly surgery."
"Persistent cough with blood-tinged sputum, night sweats, unexplained weight loss, shortness of breath, and chest pain.",Lung Cancer,"Chemotherapy, targeted drug therapy."
"Frequent nosebleeds, easy bruising, and prolonged bleeding from cuts, joint pain, fatigue, and anemia.",Hemophilia,Replacement therapy with clotting factors.
